Date,Store_ID,Store_Location,Region,SKU,SKU_Category,SKU_SubCategory,Brand,Unit_Price,Discount,Promo_Flag,Stock_On_Hand,Supplier_ID,Supplier_Rating,Weather,DayOfWeek,Holiday_Flag,Footfall,Basket_Size,Avg_Customer_Age,Loyalty_Segment,Staff_Count,Competitor_Price,Web_Orders,Mobile_Orders,Units_Sold,Sales_Revenue
23/02/2022,ALN04,Abu Dhabi,South,1097,Beverages,SubB,BrandD,6.49,0.15,0,71,SUP01,3.11,Rainy,2,0,147,3.18,52.5,Silver,17,44.95,2,52,287,1583.24
24/02/2022,SHJ03,Dubai,North,1010,Beverages,SubA,BrandA,17.26,0.15,1,108,SUP03,3.37,Sunny,3,0,475,3.18,32.8,Silver,15,31.82,6,42,370,5428.27
25/02/2022,ALN04,Abu Dhabi,North,1009,Dairy,SubB,BrandD,32.14,0.05,0,102,SUP01,4.82,Sunny,4,0,927,2.6,47.8,Silver,18,8.72,99,34,266,8121.78
26/02/2022,ALN04,Abu Dhabi,South,1014,Dairy,SubC,BrandD,10.38,0.15,0,196,SUP02,4.04,Hot,5,1,132,3.22,30.1,Bronze,16,12.05,10,13,292,2576.32
27/02/2022,DXB01,Sharjah,South,1016,Beverages,SubC,BrandC,9.07,0.15,0,74,SUP02,4.58,Cool,6,0,603,2.49,44.1,Gold,8,31.71,31,68,316,2436.2
28/02/2022,SHJ03,Al Ain,North,1039,Dairy,SubA,BrandD,38.13,0.2,1,77,SUP01,3.46,Hot,0,0,726,7.34,32.7,Bronze,15,35.49,58,48,341,10401.86
01/03/2022,DXB01,Sharjah,Central,1017,Snacks,SubC,BrandC,9.98,0.2,0,37,SUP04,3.98,Rainy,1,0,1126,7.29,38.8,Bronze,16,12.13,11,17,358,2858.27
02/03/2022,SHJ03,Sharjah,West,1054,Produce,SubC,BrandC,11.91,0.05,0,27,SUP01,3.72,Cool,2,0,141,1.72,44.2,Platinum,11,12.9,78,50,249,2817.31
03/03/2022,SHJ03,Sharjah,Central,1072,Produce,SubA,BrandD,38.85,0,1,35,SUP01,4.66,Rainy,3,0,108,2,41.4,Gold,6,15.07,37,0,232,9013.2
04/03/2022,DXB01,Sharjah,South,1024,Produce,SubB,BrandC,29.92,0.15,0,113,SUP04,3.05,Hot,4,0,1099,7.03,41,Bronze,11,27.63,23,26,292,7426.14
05/03/2022,DXB01,Sharjah,Central,1058,Snacks,SubC,BrandC,28.58,0,0,156,SUP04,3.49,Hot,5,0,918,3.79,24.2,Gold,10,9.22,64,63,246,7030.68
06/03/2022,SHJ03,Abu Dhabi,North,1077,Dairy,SubA,BrandC,34.41,0.05,0,64,SUP04,3.31,Sunny,6,0,756,2.18,30.2,Bronze,12,6.3,17,59,249,8139.69
07/03/2022,AUH02,Sharjah,South,1088,Bakery,SubC,BrandB,6.4,0.05,0,128,SUP02,4.72,Cool,0,0,889,4.57,40.9,Silver,17,31.13,45,40,385,2340.8
08/03/2022,ALN04,Sharjah,West,1021,Dairy,SubC,BrandC,28.83,0.2,1,133,SUP01,3.94,Cool,1,0,1150,3.92,22.6,Silver,17,35.46,55,20,418,9640.75
09/03/2022,DXB01,Al Ain,North,1029,Beverages,SubC,BrandB,21.14,0.15,1,194,SUP03,3.81,Sunny,2,0,1166,2.53,30.3,Silver,12,23.44,62,13,378,6792.28
10/03/2022,ALN04,Dubai,North,1083,Personal Care,SubC,BrandB,33.51,0.1,0,143,SUP04,3.9,Cool,3,0,697,6.05,29.6,Silver,7,17.52,6,19,235,7087.36
11/03/2022,AUH02,Abu Dhabi,West,1084,Produce,SubA,BrandC,21.31,0.05,0,138,SUP04,4.94,Rainy,4,0,1035,5.42,30.2,Bronze,6,20.46,65,10,299,6053.11
12/03/2022,AUH02,Abu Dhabi,West,1043,Dairy,SubA,BrandC,25.57,0.15,0,17,SUP01,4.7,Rainy,5,0,1111,1.7,39.7,Bronze,23,18.58,39,65,301,6542.08
13/03/2022,AUH02,Abu Dhabi,Central,1031,Bakery,SubA,BrandB,20.15,0,0,60,SUP03,4.41,Hot,6,0,120,7.48,41.2,Silver,17,43.27,53,23,294,5924.1
14/03/2022,DXB01,Sharjah,South,1050,Beverages,SubC,BrandB,20.17,0.2,0,94,SUP01,3.58,Rainy,0,0,1098,4.91,52,Bronze,12,34.98,30,36,373,6018.73
15/03/2022,AUH02,Sharjah,West,1045,Snacks,SubC,BrandC,31.18,0,0,34,SUP01,3.33,Cool,1,0,556,2.75,34.7,Platinum,24,10.79,96,23,228,7109.04
16/03/2022,DXB01,Sharjah,West,1020,Snacks,SubC,BrandC,25.89,0.05,0,184,SUP04,4.84,Sunny,2,0,1113,2.44,52.6,Silver,8,18.4,51,14,315,7747.58
17/03/2022,AUH02,Al Ain,South,1098,Bakery,SubA,BrandD,26.06,0.05,1,192,SUP04,3.85,Hot,3,0,364,1.95,43.5,Bronze,15,25.3,93,11,302,7476.61
18/03/2022,ALN04,Dubai,West,1031,Beverages,SubC,BrandB,19.11,0,0,92,SUP02,3.56,Sunny,4,0,283,3.97,52.1,Silver,16,28.28,30,63,295,5637.45
19/03/2022,ALN04,Sharjah,West,1093,Produce,SubB,BrandB,22.18,0.05,0,102,SUP03,3.94,Hot,5,0,326,1.95,49.5,Bronze,10,22.03,33,30,256,5394.18
20/03/2022,SHJ03,Dubai,Central,1038,Dairy,SubC,BrandD,30.34,0.15,0,126,SUP03,4.84,Hot,6,0,1196,3.91,44.7,Bronze,7,36.8,6,52,363,9361.41
21/03/2022,ALN04,Al Ain,North,1011,Beverages,SubB,BrandB,33.39,0.05,1,147,SUP04,3.77,Sunny,0,0,1192,2.04,33.8,Bronze,13,34.96,88,71,404,12815.08
22/03/2022,SHJ03,Abu Dhabi,North,1046,Snacks,SubC,BrandA,28.47,0.2,0,65,SUP04,4.13,Rainy,1,0,1068,5.6,30,Platinum,19,23.62,15,43,299,6810.02
23/03/2022,ALN04,Sharjah,North,1017,Bakery,SubA,BrandB,37.11,0.15,0,21,SUP04,4.61,Rainy,2,0,904,6.5,29.3,Bronze,13,38.71,21,29,323,10188.55
24/03/2022,DXB01,Dubai,North,1020,Bakery,SubC,BrandD,33.17,0.1,0,170,SUP03,3.85,Rainy,3,0,822,4.85,53.4,Bronze,11,34.25,99,34,313,9343.99
25/03/2022,ALN04,Dubai,West,1012,Dairy,SubB,BrandA,23.35,0.05,0,129,SUP02,3.47,Rainy,4,0,1195,5.76,53.6,Bronze,6,35.43,52,20,349,7741.69
26/03/2022,SHJ03,Sharjah,South,1020,Bakery,SubB,BrandC,27.51,0.05,0,80,SUP03,4.99,Sunny,5,0,1101,7.57,45.9,Bronze,6,43.12,90,62,367,9591.36
27/03/2022,SHJ03,Abu Dhabi,South,1007,Bakery,SubC,BrandD,37.2,0.2,1,26,SUP04,4.91,Cool,6,0,974,5.47,51.2,Bronze,13,13.31,16,16,296,8808.96
28/03/2022,AUH02,Abu Dhabi,Central,1045,Beverages,SubB,BrandD,25.53,0.2,1,198,SUP04,4.69,Hot,0,0,183,3.55,52.3,Gold,16,13.36,3,11,243,4963.03
29/03/2022,DXB01,Abu Dhabi,Central,1006,Produce,SubB,BrandC,33.34,0,1,131,SUP02,4.38,Sunny,1,0,839,4.15,38.9,Platinum,23,40.2,60,17,377,12569.18
30/03/2022,ALN04,Al Ain,West,1022,Dairy,SubA,BrandD,28.17,0,0,133,SUP01,3.59,Rainy,2,0,322,7.02,42.8,Bronze,15,35.16,98,59,311,8760.87
31/03/2022,AUH02,Dubai,South,1095,Beverages,SubC,BrandB,22.97,0,0,19,SUP01,4.83,Rainy,3,1,892,1.92,35.8,Silver,17,41.83,85,66,383,8797.51
01/04/2022,ALN04,Dubai,South,1074,Produce,SubC,BrandC,11.19,0.2,0,40,SUP03,3.55,Sunny,4,0,832,3.28,35.8,Platinum,21,4.53,51,14,269,2408.09
02/04/2022,ALN04,Dubai,North,1085,Beverages,SubC,BrandD,18.19,0,1,69,SUP01,4.6,Hot,5,0,504,5.04,23.3,Bronze,10,28.92,34,15,382,6948.58
03/04/2022,AUH02,Al Ain,West,1021,Personal Care,SubB,BrandC,38.77,0,0,79,SUP01,4.84,Sunny,6,0,428,5.73,36.3,Bronze,21,8.05,43,21,214,8296.78
04/04/2022,AUH02,Dubai,West,1088,Beverages,SubC,BrandC,27,0.1,0,26,SUP03,4.21,Sunny,0,0,525,6.34,44.2,Gold,17,23.57,14,62,235,5710.5
05/04/2022,AUH02,Al Ain,North,1021,Bakery,SubC,BrandC,23.45,0,0,59,SUP04,4.61,Cool,1,0,869,3.23,35.9,Silver,11,8.53,60,30,258,6050.1
06/04/2022,AUH02,Abu Dhabi,West,1091,Produce,SubA,BrandA,37.45,0.05,0,46,SUP01,4.58,Sunny,2,0,707,2.02,50.8,Bronze,10,7.33,43,0,245,8716.49
07/04/2022,AUH02,Sharjah,West,1028,Dairy,SubA,BrandD,24.29,0.2,0,199,SUP04,3.39,Cool,3,0,625,7.68,33,Bronze,6,2.33,20,74,245,4760.84
08/04/2022,ALN04,Dubai,Central,1012,Dairy,SubA,BrandA,21.99,0.15,0,127,SUP03,4.34,Hot,4,0,724,1.53,26.4,Bronze,24,29.03,76,5,328,6130.81
09/04/2022,AUH02,Dubai,South,1081,Produce,SubB,BrandD,30.85,0.1,0,166,SUP04,3.19,Sunny,5,1,176,1.67,48.8,Bronze,15,17.31,46,8,209,5802.88
10/04/2022,DXB01,Abu Dhabi,West,1001,Bakery,SubC,BrandB,29.08,0.2,1,169,SUP04,4.02,Sunny,6,0,1019,4.46,44.2,Gold,19,6.34,74,51,292,6793.09
11/04/2022,SHJ03,Sharjah,Central,1028,Snacks,SubA,BrandB,9.34,0.2,0,89,SUP03,3.32,Rainy,0,0,1045,6.73,30,Silver,8,15.75,48,61,366,2734.75
12/04/2022,AUH02,Al Ain,South,1084,Beverages,SubA,BrandB,19.91,0.05,0,20,SUP04,3.83,Sunny,1,0,565,6.42,39.7,Silver,11,9.1,52,57,238,4501.65
13/04/2022,AUH02,Sharjah,North,1078,Bakery,SubA,BrandD,19.96,0,0,143,SUP01,4.67,Rainy,2,0,591,7.56,35.3,Bronze,10,42.48,26,18,343,6846.28
14/04/2022,ALN04,Abu Dhabi,Central,1051,Personal Care,SubC,BrandC,16.37,0.05,0,132,SUP01,4.97,Rainy,3,0,412,1.99,53,Bronze,22,15.62,30,12,281,4369.97
15/04/2022,AUH02,Abu Dhabi,Central,1026,Produce,SubC,BrandC,21.66,0,1,44,SUP01,3.64,Rainy,4,0,407,3.63,42,Bronze,23,16.23,43,31,272,5891.52
16/04/2022,AUH02,Sharjah,South,1049,Beverages,SubC,BrandA,17.7,0,0,42,SUP01,4.06,Hot,5,0,790,2.97,27.2,Gold,17,38.08,31,8,340,6018
17/04/2022,AUH02,Al Ain,North,1094,Dairy,SubB,BrandA,9.58,0.2,0,27,SUP04,4.02,Cool,6,0,188,7.03,38.6,Silver,10,29.78,29,48,313,2398.83
18/04/2022,ALN04,Al Ain,Central,1078,Snacks,SubB,BrandB,17.67,0,0,174,SUP01,4.91,Rainy,0,0,834,4.42,50.5,Bronze,14,32.48,17,36,336,5937.12
19/04/2022,AUH02,Dubai,West,1022,Personal Care,SubA,BrandA,4.75,0.1,1,22,SUP04,3.96,Sunny,1,0,877,1.19,44.2,Bronze,17,29.28,62,30,402,1718.55
20/04/2022,SHJ03,Al Ain,West,1087,Dairy,SubC,BrandD,23.88,0.1,0,99,SUP02,4.4,Sunny,2,0,850,5.96,49.8,Gold,14,42.68,15,30,341,7328.77
21/04/2022,ALN04,Sharjah,West,1043,Produce,SubA,BrandD,34.44,0.1,0,119,SUP04,4.84,Rainy,3,0,470,3.72,30.3,Silver,8,10.74,34,58,215,6664.14
22/04/2022,SHJ03,Abu Dhabi,North,1076,Beverages,SubC,BrandA,29.56,0.2,0,10,SUP01,3.75,Rainy,4,0,550,4.72,51.3,Bronze,6,44.53,61,54,325,7685.6
23/04/2022,ALN04,Dubai,Central,1021,Produce,SubC,BrandA,15.69,0.05,0,72,SUP02,4.8,Sunny,5,0,266,7.26,46.9,Bronze,20,37.7,8,18,300,4471.65
24/04/2022,AUH02,Dubai,West,1042,Beverages,SubC,BrandA,5.31,0.15,0,43,SUP03,4.83,Rainy,6,0,491,2.8,46.1,Bronze,15,27.24,61,62,317,1430.78
25/04/2022,SHJ03,Abu Dhabi,North,1036,Bakery,SubB,BrandA,9.68,0,1,112,SUP04,4.86,Cool,0,0,835,2.68,33.4,Gold,19,30.41,38,1,409,3959.12
26/04/2022,ALN04,Al Ain,West,1060,Snacks,SubB,BrandB,22.73,0.15,0,19,SUP01,3.54,Cool,1,0,590,2.84,51.3,Silver,12,29.83,50,44,331,6395.09
27/04/2022,DXB01,Abu Dhabi,South,1096,Bakery,SubC,BrandB,9.87,0.05,1,137,SUP01,3.8,Hot,2,0,1024,3.37,43.1,Silver,9,4.32,9,42,339,3178.63
28/04/2022,AUH02,Al Ain,Central,1055,Bakery,SubA,BrandA,22.67,0.05,0,16,SUP01,4.74,Rainy,3,0,1166,1.75,50.1,Gold,10,11.22,51,0,276,5944.07
29/04/2022,ALN04,Abu Dhabi,Central,1002,Produce,SubC,BrandD,10.8,0.2,0,65,SUP03,3.72,Hot,4,0,1044,5.88,33.9,Platinum,21,43.34,11,60,385,3326.4
30/04/2022,DXB01,Sharjah,North,1062,Snacks,SubC,BrandB,34.26,0.1,0,89,SUP02,4.2,Hot,5,0,128,2.45,26.8,Bronze,8,24.88,71,2,213,6567.64
01/05/2022,ALN04,Al Ain,North,1018,Beverages,SubA,BrandD,17.1,0.1,1,174,SUP02,3.24,Hot,6,1,1154,7.48,33,Bronze,22,18.14,61,43,415,6386.85
02/05/2022,DXB01,Sharjah,Central,1022,Beverages,SubC,BrandC,11.33,0.05,0,166,SUP01,3.11,Rainy,0,0,792,2.51,37,Silver,18,34.72,2,6,340,3659.59
03/05/2022,AUH02,Dubai,West,1028,Personal Care,SubA,BrandD,32.87,0.2,1,21,SUP04,3.82,Hot,1,0,227,2.79,39.6,Bronze,11,24.46,82,32,249,6547.7
04/05/2022,SHJ03,Abu Dhabi,West,1029,Dairy,SubB,BrandA,15.03,0.2,1,154,SUP01,4.16,Cool,2,0,866,3.08,38.9,Gold,10,2.37,10,8,296,3559.1
05/05/2022,DXB01,Dubai,South,1038,Personal Care,SubB,BrandC,6.24,0,1,57,SUP01,3.79,Hot,3,0,540,6.38,40,Gold,21,33.61,7,29,395,2464.8
06/05/2022,ALN04,Dubai,West,1024,Personal Care,SubA,BrandB,23.68,0.1,0,35,SUP04,4.16,Cool,4,0,968,3.99,49.8,Silver,16,33.43,89,17,355,7565.76
07/05/2022,AUH02,Dubai,North,1007,Beverages,SubB,BrandB,24.1,0.05,0,121,SUP01,4.03,Cool,5,0,623,6.74,27.6,Bronze,22,8.93,22,55,225,5151.38
08/05/2022,DXB01,Dubai,North,1057,Produce,SubB,BrandC,29.16,0.15,1,131,SUP03,4.37,Rainy,6,0,859,6.49,32.4,Bronze,10,43.13,9,30,384,9517.82
09/05/2022,ALN04,Abu Dhabi,West,1015,Bakery,SubA,BrandD,11.13,0.1,0,21,SUP01,4.3,Hot,0,0,209,7.51,51.3,Bronze,11,11.47,17,71,230,2303.91
10/05/2022,ALN04,Dubai,North,1071,Bakery,SubB,BrandB,18.86,0,0,158,SUP03,3.85,Rainy,1,0,262,6.3,40.5,Gold,15,21.57,75,62,269,5073.34
11/05/2022,ALN04,Abu Dhabi,Central,1000,Bakery,SubC,BrandA,12.73,0.2,0,51,SUP01,3.85,Cool,2,0,659,1.36,41.3,Bronze,6,6.76,38,49,267,2719.13
12/05/2022,DXB01,Abu Dhabi,Central,1004,Snacks,SubC,BrandC,5.08,0.05,0,70,SUP02,3.28,Sunny,3,0,498,6.86,37.8,Bronze,15,27.86,25,0,285,1375.41
13/05/2022,DXB01,Sharjah,West,1002,Beverages,SubA,BrandA,35.31,0.1,0,67,SUP04,4.03,Hot,4,1,682,7.57,40.1,Bronze,22,18.02,10,18,247,7849.41
14/05/2022,DXB01,Al Ain,Central,1064,Produce,SubB,BrandC,29.7,0.15,0,191,SUP02,4.17,Rainy,5,0,498,7.96,28.5,Platinum,8,17.06,9,63,213,5377.18
15/05/2022,SHJ03,Al Ain,Central,1003,Snacks,SubC,BrandB,13.46,0,0,43,SUP01,3.95,Sunny,6,0,338,1.88,40,Silver,7,37.53,2,52,313,4212.98
16/05/2022,DXB01,Abu Dhabi,South,1098,Dairy,SubC,BrandD,24.78,0,0,16,SUP01,3.65,Hot,0,0,1155,5.29,54.9,Gold,22,2.21,61,5,260,6442.8
17/05/2022,DXB01,Sharjah,South,1095,Produce,SubB,BrandC,9.65,0.1,0,118,SUP03,4.44,Hot,1,0,209,2.4,40.7,Gold,9,36.27,70,16,279,2423.11
18/05/2022,DXB01,Abu Dhabi,Central,1063,Personal Care,SubB,BrandC,35.83,0.15,0,44,SUP01,3.15,Rainy,2,0,399,2.84,23.5,Silver,7,26.49,60,45,210,6395.65
